SIGNAL_NAME,Lat,Lng
DN AUTO SIGNAL 122,2126.9611,8004.8565
DN AUTO SIGNAL 124,2127.1784,8005.4113
DN SA G:A126,2127.392,8005.9562
DN L XING,2127.4369,8006.0707
DN SA G:A128,2127.7876,8006.9683
DN AUTO SIGNAL 130,2127.9299,8007.5564
DN AUTO SIGNAL 132,2127.9074,8008.2141
DN SA G:A134,2127.8717,8008.8713
DN L XING,2127.8649,8008.994
DN SA G:A136,2127.8388,8009.4605
DN L XING,2127.8324,8009.5803
DN SA G:A138,2127.8005,8010.1566
DN L XING,2127.7945,8010.2765
DN G HOME,2127.7785,8010.6352
DN L XING,2127.7673,8010.7977
DN G INT HOME,2127.7532,8010.9432
DN G STR,2127.7084,8011.7161
DN G INT STR,2127.7069,8011.9345
DN G ADV STR,2127.6997,8012.2223
DN SA G:A142,2127.6873,8012.5471
DN L XING,2127.6824,8012.669
DN NEU SEC,2127.6712,8012.9468
DN AUTO SIGNAL 144,2127.6467,8013.6875
DN AUTO SIGNAL 146,2127.4822,8014.2391
DN SA G:A148,2127.1192,8014.7138
DN L XING,2127.0594,8014.7777
DN AUTO SIGNAL 150,2126.564,8015.3095
DN AUTO SIGNAL 152,2126.1695,8015.7313
DN SA G:A154,2125.7873,8016.1404
DN L XING,2125.7208,8016.2169
DN GDM HOME,2125.3729,8016.6653
DN GDM STR,2124.862,8017.3375
DN GDM ADV STR,2124.7278,8017.5139
DN SA G:A158,2124.0282,8018.4335
DN L XING,2123.9559,8018.5284
DN AUTO SIGNAL 160,2123.6776,8018.8939
DN SA G:A162,2123.2212,8019.5505
DN L XING,2123.1588,8019.6734
DN AUTO SIGNAL 164,2122.9044,8020.177
DN SA G:A166,2122.4339,8021.1085
DN NEU SEC,2122.3967,8021.1782
DN L XING,2122.3729,8021.2253
DN AGN HOME,2121.9714,8021.9744
DN AGN STR,2121.6298,8022.5377
DN L XING,2121.5488,8022.728
DN AGN ADV STR,2121.5113,8022.8187
DN SA G:A168,2120.7921,8023.6127
DN L XING,2120.6931,8023.6889
DN SA G:A170,2120.2676,8024.0185
DN L XING,2120.1981,8024.0705
DN AUTO SIGNAL 172,2119.6443,8024.5095
DN DNL HOME,2119.4295,8025.158
DN DNL STR,2119.3039,8025.6687
DN DNL ADV STR,2119.2564,8025.861
DN AUTO SIGNAL 178,2118.975,8026.3272
DN SA G:A180,2118.6381,8026.7832
DN L XING,2118.5748,8026.8711
DN AUTO SIGNAL 182,2118.354,8027.2711
DN SA G:A184,2118.1339,8027.7128
DN L XING,2118.1051,8027.831
DN SA G:A186,2118.0884,8028.7954
DN L XING,2118.0875,8028.9015
DN SKS HOME,2118.0852,8029.1331
DN L XING,2118.0756,8029.311
DN SKS STR,2118.0616,8029.8424
DN SKS ADV STR,2118.0251,8029.9867
DN SA G:A188,2117.9274,8030.346
DN L XING,2117.8929,8030.473
DN NEU SEC,2117.7934,8030.8326
DN AUTO SIGNAL 190,2117.7275,8031.0719
DN AUTO SIGNAL 192,2117.4694,8031.5009
DN SA G:A194,2116.7347,8032.5074
DN L XING,2116.6593,8032.5852
DN AUTO SIGNAL 196,2116.061,8033.3247
DN DKS HOME,2116.5103,8034.5778
DN L XING,2116.3817,8034.7124
DN DKS STR,2116.0822,8035
DN DKS ADV STR,2115.9167,8035.1588
DN AUTO SIGNAL 202,2115.3687,8035.7898
DN SA G:A204,2114.863,8036.0144
DN L XING,2114.7509,8036.0652
DN AUTO SIGNAL 206,2114.3284,8036.3918
DN AUTO SIGNAL 208,2113.868,8036.7635
DN BTL HOME,2113.4789,8037.0796
DN L XING,2113.1435,8037.3723
DN BTL STR,2113.0174,8037.8081
DN BTL ADV STR,2112.9655,8038.0258
DN L XING,2112.9063,8038.2495
DN AUTO SIGNAL 210,2112.607,8038.5072
DN AUTO SIGNAL 212,2111.9554,8039.1272
DN AUTO SIGNAL 214,2111.7392,8039.5756
DN NEU SEC,2111.6786,8040.029
DN SA G:A216,2111.737,8040.1858
DN L XING,2111.7892,8040.3193
DN AUTO SIGNAL 218,2111.6433,8040.7828
DN PJB HOME,2111.3097,8041.2477
DN PJB STR,2110.9175,8041.7767
DN PJB ADV STR,2110.823,8041.9074
DN SA G:A284,2110.4883,8042.3782
DN L XING,2110.4345,8042.4734
DN SA G:A286,2110.314,8043.0734
DN L XING,2110.3042,8043.1705
DN AUTO SIGNAL 288,2110.644,8043.8467
DN AUTO SIGNAL 290,2110.8834,8044.4002
DN DGG HOME,2111.1065,8044.928
DN DGG STR,2111.1129,8045.7709
DN DGG ADV STR,2111.1142,8046.0886
DN SA G:A292,2111.078,8046.9762
DN L XING,2111.074,8047.0976
DN AUTO SIGNAL 294,2111.0558,8047.7269
DN SA G:A296,2111.0292,8048.5475
DN L XING,2111.0174,8048.6516
DN JTR HOME,2110.986,8048.7861
DN JTR STR,2110.7509,8049.3242
DN JTR ADV STR,2110.5946,8049.6633
DN AUTO SIGNAL 302,2110.3092,8050.2833
DN AUTO SIGNAL 304,2110.074,8050.7953
DN AUTO SIGNAL 306,2109.8458,8051.3732
DN NEU SEC,2109.7777,8051.5489
DN MUA HOME,2109.5016,8052.2575
DN L XING,2109.4301,8052.4192
DN MUA STR,2109.1227,8052.783
DN MUA ADV STR,2108.9464,8052.9538
DN SA G:A314,2108.2171,8053.6525
DN L XING,2108.1434,8053.7226
DN AUTO SIGNAL 316,2107.8115,8054.0417
DN SA G:A318,2107.8285,8054.9887
DN L XING,2107.8396,8055.1045
DN SA G:A320,2107.7611,8055.7596
DN L XING,2107.748,8055.8575
DN BAKL HOME,2107.6765,8056.0557
DN BAKL STR,2107.339,8056.7471
DN BAKL ADV STR,2107.2574,8056.914
DN L XING,2107.1679,8057.0977
DN SA G:A326,2106.7746,8057.9048
DN L XING,2106.7208,8058.0149
DN AUTO SIGNAL 328,2106.5668,8058.4959
DN AUTO SIGNAL 330,2106.4918,8059.0985
DN AUTO SIGNAL 332,2106.4179,8059.7113
DN AUTO SIGNAL 334,2106.3433,8100.2972
DN AUTO SIGNAL 336,2106.2293,8101.2152
DN RJN HOME,2106.21,8101.6873
DN RJN STR,2106.0205,8102.4388
DN L XING,2106.0063,8102.5452
